,price,type,title,mobile,address,city,age,url,rooms,bathrooms,m2,elevator,floor,balcony,terrace,heating,air_conditioning,parking,pool,id,itp,transfer_taxes,insurance,ibi,community,maintenance,ext_costs,exp_income,group,percentile
10,398000,Piso,"Piso con terraza en Calle Mugakoa, Buenavista",944 946 511,Buenavista,Portugalete,0,/es/comprar/vivienda/portugalete/calefaccion-terraza-trastero-ascensor-amueblado/177804477/d?from=list,3,2,100,No,0,No,No,No,No,No,No,745,27860.0,31243.0,200.0,1990.0,208.05,498.0,241.3375,1329.0,1/1,100.0
11,510000,Casa o chalet,"Casa o chalet con piscina en Las Mimosas, La Algoda - Matola - El Pla",966 536 792,La Algoda - Matola - El Pla,Elche / Elx,0,/es/comprar/vivienda/elche-elx/calefaccion-jardin-terraza-piscina/165246812/d?from=list,6,4,185,No,0,No,Yes,Yes,No,No,Yes,761,51000.0,55335.0,412.5,2550.0,279.65,610.0,321.0125,1069.6666666667,1/1,100.0
12,146000,Piso,"Piso con ascensor en Calle Profesor Manuel Clavero Arévalo,  Sevilla Capital",954 302 563,Sevilla Capital,Sevilla Provincia,0,/es/comprar/vivienda/sevilla-capital/aire-acondicionado-trastero-zona-comunitaria-ascensor-parking/176879103/d?from=list,2,1,60,Yes,7,No,No,No,No,Yes,No,745,10220.0,11461.0,100.0,730.0,79.45,246.0,96.2875,1067.7,2/3,57.6923076923
13,535000,Casa o chalet,Casa o chalet con terraza en La Marina,966 531 605,La Marina,Elche / Elx,9,/es/comprar/vivienda/elche-elx/parking-jardin-terraza/177652397/d?from=list,3,3,109,No,0,Yes,Yes,No,No,No,No,1259,53500.0,58047.5,222.5,2675.0,283.4,635.0,317.9916666667,816.0,1/1,100.0
14,535000,Casa o chalet,Casa o chalet con terraza en La Marina,966 531 605,La Marina,Elche / Elx,9,/es/comprar/vivienda/elche-elx/parking-jardin-terraza/177652397/d?from=list,3,3,109,No,0,Yes,Yes,No,No,No,No,1259,53500.0,58047.5,222.5,2675.0,283.4,635.0,317.9916666667,816.0,1/1,100.0
15,199000,Casa adosada,"Casa adosada con terraza en Calle Boabdil, San Miguel",958 917 188,San Miguel,Armilla,0,/es/comprar/vivienda/armilla/parking-terraza-trastero-patio/177436775/d?from=list,4,2,178,No,0,Yes,Yes,No,No,No,No,744,13930.0,15621.5,395.0,995.0,98.6,299.0,148.9666666667,1068.0,1/3,35.8490566038
16,535000,Casa o chalet,Casa o chalet con terraza en La Marina,966 531 605,La Marina,Elche / Elx,9,/es/comprar/vivienda/elche-elx/parking-jardin-terraza/177652397/d?from=list,3,3,109,No,0,Yes,Yes,No,No,No,No,1259,53500.0,58047.5,222.5,2675.0,283.4,635.0,317.9916666667,816.0,1/1,100.0
17,60000,Piso,"Piso con 1 baño en Nicolas David, El Mercado",961 286 182,El Mercado,Manises,1,/es/comprar/vivienda/manises/el-mercado/177932977/d?from=list,2,1,50,No,0,No,No,No,No,No,No,0,4800.0,5310.0,125.0,300.0,22.15,160.0,50.5958333333,625.3333333333,3/3,48.7804878049
18,907200,Casa o chalet,Casa o chalet con 1 baño en La Cañada,961 285 364,La Canada,Paterna,0,/es/comprar/vivienda/paterna/la-canada/163580320/d?from=list,1,1,2541,No,0,No,No,No,No,No,No,8,72576.0,80287.2,6302.5,4536.0,488.11,1007.2,1027.8175,0.0,1/3,92.8571428571
19,120000,Apartamento,Apartamento con terraza en Casco Antiguo,968 918 131,Casco Antiguo,Aguilas,0,/es/comprar/vivienda/aguilas/aire-acondicionado-calefaccion-terraza/177551260/d?from=list,2,1,67,No,5,No,Yes,Yes,No,No,No,0,9600.0,10620.0,117.5,600.0,55.15,220.0,82.7208333333,0.0,1/3,56.5789473684
20,429000,Casa o chalet,Casa o chalet con piscina en Ceres Golf,910 306 934,Ceres Golf,Caceres Capital,21,/es/comprar/vivienda/caceres-capital/piscina/176641840/d?from=list,5,4,733,No,0,No,No,No,No,No,Yes,3,34320.0,37966.5,1782.5,2145.0,235.1,529.0,390.9666666667,0.0,1/3,23.0769230769
21,465000,Casa adosada,Casa adosada con aire acondicionado en Santa Margalida,971 929 681,Santa Margalida,Illes Balears Provincia,0,/es/comprar/vivienda/santa-margalida/aire-acondicionado/177041677/d?from=list,3,2,130,No,0,No,No,No,Yes,No,No,750,37200.0,41152.5,275.0,2325.0,244.9,565.0,284.1583333333,2117.0,1/1,100.0
22,89000,Piso,Piso con ascensor en Centro,927 920 171,Centro,Caceres Capital,14,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-ascensor/161414650/d?from=list,3,1,72,No,0,No,No,No,No,No,No,46,7120.0,7876.5,130.0,445.0,38.1,189.0,66.8416666667,0.0,3/3,43.0790960452
23,425000,Piso,"Piso con terraza en Avenida Ballonti, Repelega",944 947 442,Repelega,Portugalete,30,/es/comprar/vivienda/portugalete/calefaccion-terraza-trastero-ascensor-amueblado-parking/176623173/d?from=list,3,2,100,No,0,No,No,No,No,No,No,751,29750.0,33362.5,200.0,2125.0,222.9,525.0,256.075,1329.0,1/1,100.0
24,365000,Piso,"Piso en Portugalete - Luis Galdos, 5, La Florida",944 687 134,La Florida,Portugalete,0,/es/comprar/vivienda/portugalete/parking-zona-comunitaria-ascensor-amueblado/177544143/d?from=list,4,2,94,No,0,No,No,No,No,No,No,746,25550.0,28652.5,185.0,1825.0,189.9,465.0,222.075,1348.0,1/1,83.3333333333
25,682500,Casa o chalet,Casa o chalet con terraza en Inca,971 921 939,Inca,Illes Balears Provincia,0,/es/comprar/vivienda/inca/calefaccion-terraza/177115179/d?from=list,5,4,391,No,0,Yes,Yes,Yes,No,No,No,746,54600.0,60401.25,927.5,3412.5,364.525,782.5,457.2520833333,4349.3333333333,1/1,100.0
26,460000,Piso,"Piso con 2 baños en José Varga Ponce , Eivissa",971 926 150,Eivissa,Illes Balears Provincia,0,/es/comprar/vivienda/eivissa/ses-figueretes-platja-d-en-bossa-cas-serres/177524535/d?from=list,3,2,100,No,0,No,No,No,No,No,No,1271,36800.0,40710.0,200.0,2300.0,242.15,560.0,275.1791666667,1854.0,1/1,100.0
27,255000,Piso,"Piso con balcón en Carrer de Mossen Joan Vich, Marratxí",971 083 307,Marratxi,Illes Balears Provincia,0,/es/comprar/vivienda/marratxi/parking-parking/177490661/d?from=list,2,2,77,No,1,Yes,No,No,No,Yes,No,1258,20400.0,22567.5,142.5,1275.0,129.4,355.0,158.4916666667,0.0,1/1,33.3333333333
28,127130,Casa o chalet,"Casa o chalet con 1 baño en Cristobal Colon, Manacor",911 227 139,Manacor,Illes Balears Provincia,0,/es/comprar/vivienda/manacor/manacor-centre/158978310/d?from=list,2,1,202,No,0,No,No,No,No,No,No,752,10170.4,11251.005,455.0,635.65,59.0715,227.13,114.737625,2840.0,1/1,66.6666666667
29,530000,Casa o chalet,"Casa o chalet con piscina en Calle Carrer de Churruca, Llucmajor",971 083 307,Llucmajor,Illes Balears Provincia,0,/es/comprar/vivienda/llucmajor/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio-piscina-parking/176418746/d?from=list,3,2,150,No,0,No,Yes,No,No,Yes,Yes,773,42400.0,46905.0,325.0,2650.0,290.65,630.0,324.6375,1769.3,1/1,100.0
30,360000,Piso,Piso con ascensor en Centro,944 948 974,Centro,Portugalete,3,/es/comprar/vivienda/portugalete/calefaccion-ascensor/177143546/d?from=list,3,2,115,Yes,2,No,No,Yes,No,No,No,744,25200.0,28260.0,237.5,1800.0,197.15,460.0,224.5541666667,1419.1666666667,1/3,100.0
31,1200000,Casa adosada,Casa adosada con aire acondicionado en Calvià,971 929 681,Calvia,Illes Balears Provincia,0,/es/comprar/vivienda/calvia/aire-acondicionado-piscina/177448752/d?from=list,2,2,139,No,0,No,No,No,Yes,No,No,748,96000.0,106200.0,297.5,6000.0,649.15,1300.0,687.2208333333,0.0,1/1,66.6666666667
32,2390000,Obra Nueva,"Obra Nueva Casa o chalet con piscina en Calle Cefeo, Nueva Andalucía",951 349 718,Nueva Andalucia,Marbella,0,/es/comprar/vivienda/obra-nueva/marbella/19841982/162761136?from=list,4,6,659,No,+,No,No,No,No,Yes,No,30,191200.0,211515.0,1597.5,11950.0,1303.65,2490.0,1445.0958333333,0.0,1/1,100.0
33,215000,Piso,"Piso con ascensor en Calle Miramar, Azeta - Abatxolo",944 946 511,Azeta - Abatxolo,Portugalete,93,/es/comprar/vivienda/portugalete/calefaccion-jardin-ascensor/176731293/d?from=list,4,1,95,No,0,No,No,No,No,No,No,750,15050.0,16877.5,187.5,1075.0,107.4,315.0,140.4083333333,1352.6666666667,3/3,91.6666666667
34,250000,Casa o chalet,"Casa o chalet en Cuesta de Gos, Las Majadas - Las Molinetas - Labradorcico",931 341 832,Las Majadas - Las Molinetas - Labradorcico,Aguilas,0,/es/comprar/vivienda/aguilas/parking-jardin-terraza-trastero-television-internet-no-amueblado/163854241/d?from=list,3,1,123,No,0,No,No,No,No,No,No,16,20000.0,22125.0,257.5,1250.0,126.65,350.0,165.3458333333,0.0,2/3,100.0
35,1200000,Casa adosada,Casa adosada con aire acondicionado en Calvià,971 929 681,Calvia,Illes Balears Provincia,0,/es/comprar/vivienda/calvia/aire-acondicionado-piscina/177448752/d?from=list,2,2,139,No,0,No,No,No,Yes,No,No,748,96000.0,106200.0,297.5,6000.0,649.15,1300.0,687.2208333333,0.0,3/3,100.0
36,125000,Piso,"Piso con terraza en Aire, Delicias",968 916 684,Delicias,Aguilas,0,/es/comprar/vivienda/aguilas/aire-acondicionado-parking-terraza-amueblado/177725745/d?from=list,3,2,80,No,0,No,No,No,No,No,No,19,10000.0,11062.5,150.0,625.0,57.9,225.0,88.1583333333,0.0,1/1,40.0
37,2390000,Obra Nueva,"Obra Nueva Casa o chalet con piscina en Calle Cefeo, Nueva Andalucía",951 349 718,Nueva Andalucia,Marbella,0,/es/comprar/vivienda/obra-nueva/marbella/19841982/162761136?from=list,4,6,659,No,+,No,No,No,No,Yes,No,30,191200.0,211515.0,1597.5,11950.0,1303.65,2490.0,1445.0958333333,0.0,1/1,100.0
38,199000,Piso,"Piso con ascensor en Calle Bizkaia, Casco Viejo - Muelle",944 946 511,Casco Viejo - Muelle,Portugalete,22,/es/comprar/vivienda/portugalete/calefaccion-ascensor-amueblado/176987828/d?from=list,3,1,75,No,0,No,No,No,No,No,No,749,13930.0,15621.5,137.5,995.0,98.6,299.0,127.5083333333,1141.3333333333,3/3,100.0
39,480000,Apartamento,Apartamento con terraza en Alcúdia,971 085 813,Alcudia,Illes Balears Provincia,0,/es/comprar/vivienda/alcudia/calefaccion-terraza-ascensor/164907239/d?from=list,3,3,115,Yes,0,Yes,Yes,No,No,No,No,758,38400.0,42480.0,237.5,2400.0,263.15,580.0,290.0541666667,0.0,1/1,100.0
40,180000,Piso,"Piso con terraza en Calle Vázquez Montalbán, El Hornillo",968 916 228,El Hornillo,Aguilas,0,/es/comprar/vivienda/aguilas/parking-terraza-zona-comunitaria-ascensor-amueblado-piscina/176534369/d?from=list,3,2,120,No,0,No,No,No,No,No,No,47,14400.0,15930.0,250.0,900.0,88.15,280.0,126.5125,0.0,1/1,60.0
41,445000,Planta baja,Planta baja con aire acondicionado en Andratx,971 929 681,Andratx,Illes Balears Provincia,0,/es/comprar/vivienda/andratx/aire-acondicionado-amueblado-piscina/177183023/d?from=list,2,1,69,No,0,No,No,No,Yes,No,No,747,35600.0,39382.5,122.5,2225.0,233.9,545.0,260.5333333333,1492.3333333333,1/1,50.0
42,250000,Finca rústica,Finca rústica con calefacción en Calabardina,968 910 287,Calabardina,Aguilas,29,/es/comprar/vivienda/aguilas/calefaccion-parking-jardin/176888805/d?from=list,3,1,128,No,1,No,No,Yes,No,No,No,9,20000.0,22125.0,270.0,1250.0,126.65,350.0,166.3875,0.0,1/1,78.5714285714
43,90000,Piso,"Piso con terraza en Avenida de Valdecilla, Cuatro Caminos",942 916 184,Cuatro Caminos,Santander,69,/es/comprar/vivienda/santander/calefaccion-terraza-trastero/177151954/d?from=list,2,1,70,No,1,Yes,Yes,No,No,No,No,0,9000.0,9765.0,125.0,450.0,38.65,190.0,66.9708333333,712.0,1/3,5.0632911392
44,477250,Casa adosada,Casa adosada con terraza en Pollença,971 085 813,Pollenca,Illes Balears Provincia,0,/es/comprar/vivienda/pollenca/terraza-amueblado/177324753/d?from=list,3,2,161,No,0,No,Yes,No,No,No,No,753,38180.0,42236.625,352.5,2386.25,251.6375,577.25,297.303125,0.0,1/1,100.0
45,2390000,Obra Nueva,"Obra Nueva Casa o chalet con piscina en Calle Cefeo, Nueva Andalucía",951 349 718,Nueva Andalucia,Marbella,0,/es/comprar/vivienda/obra-nueva/marbella/19841982/162761136?from=list,4,6,659,No,+,No,No,No,No,Yes,No,30,191200.0,211515.0,1597.5,11950.0,1303.65,2490.0,1445.0958333333,0.0,1/1,100.0
46,137000,Piso,Piso con piscina en Aguas Vivas - La Zambomba,924 150 618,Aguas Vivas - La Zambomba,Caceres Capital,29,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-ascensor-piscina/162385616/d?from=list,2,1,70,Yes,2,No,No,No,No,No,No,1,10960.0,12124.5,125.0,685.0,74.5,237.0,93.4583333333,0.0,1/3,9.0909090909
47,120000,Apartamento,Apartamento con terraza en Casco Antiguo,968 918 131,Casco Antiguo,Aguilas,0,/es/comprar/vivienda/aguilas/aire-acondicionado-calefaccion-terraza/177551260/d?from=list,2,1,67,No,5,No,Yes,Yes,No,No,No,0,9600.0,10620.0,117.5,600.0,55.15,220.0,82.7208333333,0.0,1/3,15.9090909091
48,1095000,Casa o chalet,"Casa o chalet en Urbanització Binidalí, 9, Maó",971 081 148,Mao,Illes Balears Provincia,0,/es/comprar/vivienda/mao/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-piscina-internet/177685738/d?from=list,4,4,295,No,0,No,Yes,No,No,No,Yes,761,87600.0,96907.5,687.5,5475.0,601.4,1195.0,663.2416666667,0.0,1/1,100.0
49,360000,Ático,Ático con ascensor en Montequinto,955 175 417,Montequinto,Sevilla Provincia,0,/es/comprar/vivienda/montequinto/aire-acondicionado-calefaccion-parking-jardin-trastero-ascensor-piscina/177812629/d?from=list,3,2,190,Yes,4,No,No,Yes,No,No,No,1246,25200.0,28260.0,425.0,1800.0,197.15,460.0,240.1791666667,1403.0,1/1,100.0
50,146000,Piso,"Piso con ascensor en Calle Profesor Manuel Clavero Arévalo,  Sevilla Capital",954 302 563,Sevilla Capital,Sevilla Provincia,0,/es/comprar/vivienda/sevilla-capital/aire-acondicionado-trastero-zona-comunitaria-ascensor-parking/176879103/d?from=list,2,1,60,Yes,7,No,No,No,No,Yes,No,745,10220.0,11461.0,100.0,730.0,79.45,246.0,96.2875,1067.7,1/3,68.75
51,110000,Piso,"Piso con terraza en Julio Cesar, Camas",954 301 931,Camas,Sevilla Provincia,0,/es/comprar/vivienda/camas/terraza-trastero-ascensor/177486254/d?from=list,3,1,96,Yes,1,No,Yes,No,No,No,No,1249,7700.0,8635.0,190.0,550.0,59.65,210.0,84.1375,748.5,1/1,100.0
52,340000,Casa o chalet,Casa o chalet con 3 baños en Espartinas,954 307 759,Espartinas,Sevilla Provincia,0,/es/comprar/vivienda/espartinas/parking/176193304/d?from=list,5,3,221,No,0,No,No,No,No,No,No,1252,23800.0,26690.0,502.5,1700.0,176.15,440.0,234.8875,1952.3333333333,1/1,100.0
53,69000,Piso,Piso con aire acondicionado en Ciudad Monumental,935 439 893,Ciudad Monumental,Caceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-parking/177949227/d?from=list,1,1,38,No,2,No,No,No,Yes,No,No,32,5520.0,6106.5,155.0,345.0,27.1,169.0,58.0083333333,0.0,2/3,21.0526315789
54,205000,Ático,Ático con terraza en Nuevo Cáceres,927 920 179,Nuevo Caceres,Caceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-terraza-zona-comunitaria-ascensor-parking-no-amueblado/155782949/d?from=list,3,2,90,Yes,0,No,No,No,No,Yes,No,14,16400.0,18142.5,175.0,1025.0,111.9,305.0,134.7416666667,0.0,3/3,77.7777777778
55,199000,Casa adosada,"Casa adosada con terraza en Calle Boabdil, San Miguel",958 917 188,San Miguel,Armilla,0,/es/comprar/vivienda/armilla/parking-terraza-trastero-patio/177436775/d?from=list,4,2,178,No,0,Yes,Yes,No,No,No,No,744,13930.0,15621.5,395.0,995.0,98.6,299.0,148.9666666667,1068.0,1/3,35.8490566038
56,89000,Piso,Piso con ascensor en Centro,927 920 171,Centro,Caceres Capital,14,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-ascensor/161414650/d?from=list,3,1,72,No,0,No,No,No,No,No,No,46,7120.0,7876.5,130.0,445.0,38.1,189.0,66.8416666667,0.0,3/3,76.9230769231
57,99990,Piso,"Piso con ascensor en Huelva, San Antón",958 912 715,San Anton,Armilla,22,/es/comprar/vivienda/armilla/aire-acondicionado-ascensor/177648445/d?from=list,2,1,76,Yes,2,No,No,No,No,No,No,42,7999.2,8849.115,140.0,499.95,54.1445,199.99,74.5070416667,0.0,2/3,25.3424657534
58,150900,Piso,"Piso en Avenida el Malecón, 1, La Rinconada",955 938 307,La Rinconada,Sevilla Provincia,0,/es/comprar/vivienda/la-rinconada/aire-acondicionado-calefaccion-jardin-terraza-trastero-zona-comunitaria-ascensor-parking-piscina/176761793/d?from=list,2,2,124,Yes,0,No,Yes,No,No,Yes,No,755,10563.0,11845.65,260.0,754.5,82.145,250.9,112.2954166667,1136.1333333333,1/1,100.0
59,260000,Casa adosada,"Casa adosada con calefacción en Juan Diego, Bormujos",954 304 953,Bormujos,Sevilla Provincia,0,/es/comprar/vivienda/bormujos/aire-acondicionado-calefaccion-parking-jardin/177328612/d?from=list,4,3,135,No,0,No,No,Yes,Yes,No,No,1270,18200.0,20410.0,287.5,1300.0,132.15,360.0,173.3041666667,1321.6666666667,1/1,100.0
60,195000,Casa o chalet,Casa o chalet con terraza en Poniente,958 929 451,Poniente,Armilla,0,/es/comprar/vivienda/armilla/aire-acondicionado-calefaccion-parking-terraza/177528230/d?from=list,3,3,186,No,0,No,Yes,Yes,Yes,No,No,746,13650.0,15307.5,415.0,975.0,96.4,295.0,148.45,1093.6666666667,1/3,64.2857142857
61,200000,Piso,"Piso con 2 baños en Calle Nuestra Señora del Carmen, Dos Hermanas",910 925 327,Dos Hermanas,Sevilla Provincia,0,/es/comprar/vivienda/dos-hermanas/centro-dona-mercedes/176082562/d?from=list,3,2,82,No,1,No,No,No,No,No,No,750,14000.0,15700.0,155.0,1000.0,99.15,300.0,129.5125,758.3333333333,1/1,60.0
62,299000,Casa o chalet,"Casa o chalet con terraza en Pino Chico, Carmona",954 300 861,Carmona,Sevilla Provincia,0,/es/comprar/vivienda/carmona/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-piscina/177215727/d?from=list,3,2,110,No,0,No,Yes,Yes,Yes,No,No,772,20930.0,23471.5,225.0,1495.0,153.6,399.0,189.3833333333,1083.5,1/1,100.0
63,107000,Piso,"Piso en Almadén, 1, Las Tres Cruces",958 911 961,Las Tres Cruces,Armilla,0,/es/comprar/vivienda/armilla/aire-acondicionado-calefaccion-terraza/165197894/d?from=list,3,1,96,No,0,No,No,No,No,No,No,751,7490.0,8399.5,190.0,535.0,48.0,207.0,81.6666666667,816.6666666667,1/1,40.0
64,398000,Piso,"Piso con terraza en Calle Mugakoa, Buenavista",944 946 511,Buenavista,Portugalete,0,/es/comprar/vivienda/portugalete/calefaccion-terraza-trastero-ascensor-amueblado/177804477/d?from=list,3,2,100,No,0,No,No,No,No,No,No,745,27860.0,31243.0,200.0,1990.0,208.05,498.0,241.3375,1329.0,3/3,86.6666666667
65,199000,Casa adosada,"Casa adosada con terraza en Calle Boabdil, San Miguel",958 917 188,San Miguel,Armilla,0,/es/comprar/vivienda/armilla/parking-terraza-trastero-patio/177436775/d?from=list,4,2,178,No,0,Yes,Yes,No,No,No,No,744,13930.0,15621.5,395.0,995.0,98.6,299.0,148.9666666667,1068.0,2/3,62.5
66,120000,Apartamento,Apartamento con terraza en Casco Antiguo,968 918 131,Casco Antiguo,Aguilas,0,/es/comprar/vivienda/aguilas/aire-acondicionado-calefaccion-terraza/177551260/d?from=list,2,1,67,No,5,No,Yes,Yes,No,No,No,0,9600.0,10620.0,117.5,600.0,55.15,220.0,82.7208333333,0.0,1/3,56.5789473684
67,45000,Piso,Piso con 1 baño en Mejostilla,910 924 618,Mejostilla,Caceres Capital,10,/es/comprar/vivienda/caceres-capital/mejostilla/177435714/d?from=list,2,1,55,No,0,No,No,No,No,No,No,13,3600.0,3982.5,112.5,225.0,13.9,155.0,42.2,0.0,1/3,2.2388059701
68,398000,Piso,"Piso con terraza en Calle Mugakoa, Buenavista",944 946 511,Buenavista,Portugalete,0,/es/comprar/vivienda/portugalete/calefaccion-terraza-trastero-ascensor-amueblado/177804477/d?from=list,3,2,100,No,0,No,No,No,No,No,No,745,27860.0,31243.0,200.0,1990.0,208.05,498.0,241.3375,1329.0,2/3,86.6666666667
69,90000,Piso,"Piso con terraza en Avenida de Valdecilla, Cuatro Caminos",942 916 184,Cuatro Caminos,Santander,69,/es/comprar/vivienda/santander/calefaccion-terraza-trastero/177151954/d?from=list,2,1,70,No,1,Yes,Yes,No,No,No,No,0,9000.0,9765.0,125.0,450.0,38.65,190.0,66.9708333333,712.0,1/3,5.0632911392
70,90000,Piso,"Piso con terraza en Avenida de Valdecilla, Cuatro Caminos",942 916 184,Cuatro Caminos,Santander,69,/es/comprar/vivienda/santander/calefaccion-terraza-trastero/177151954/d?from=list,2,1,70,No,1,Yes,Yes,No,No,No,No,0,9000.0,9765.0,125.0,450.0,38.65,190.0,66.9708333333,712.0,1/3,5.0632911392
71,155000,Casa adosada,Casa adosada con terraza en La Cañada,927 136 129,La Canada,Caceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-trastero/177534369/d?from=list,3,1,150,No,0,No,Yes,Yes,No,No,No,145,12400.0,13717.5,325.0,775.0,74.4,255.0,119.1166666667,0.0,2/2,66.6666666667
72,2500000,Casa o chalet,Casa o chalet con piscina en Andratx,951 347 068,Andratx,Illes Balears Provincia,0,/es/comprar/vivienda/andratx/aire-acondicionado-parking-jardin-terraza-trastero-piscina-se-aceptan-mascotas-internet/177363061/d?from=list,4,3,254,No,0,No,Yes,No,Yes,No,Yes,759,200000.0,221250.0,585.0,12500.0,1374.15,2600.0,1421.5958333333,3184.8333333333,1/1,100.0
73,350000,Casa o chalet,Casa o chalet con piscina en Calabardina,968 910 287,Calabardina,Aguilas,2,/es/comprar/vivienda/aguilas/calefaccion-parking-jardin-terraza-patio-piscina/165446773/d?from=list,3,2,157,No,0,No,Yes,Yes,No,No,Yes,15,28000.0,30975.0,342.5,1750.0,191.65,450.0,227.8458333333,0.0,1/1,100.0
74,188000,Apartamento,"Apartamento con 2 baños en Torre de Floripes, Nuevo Cáceres",910 926 258,Nuevo Caceres,Caceres Capital,16,/es/comprar/vivienda/caceres-capital/jardin/177729233/d?from=list,3,2,191,No,0,No,No,No,No,No,No,14,15040.0,16638.0,427.5,940.0,92.55,288.0,145.6708333333,0.0,3/3,68.5185185185
75,82323,Piso,Piso con balcón en Las Majadas - Las Molinetas - Labradorcico,968 914 675,Las Majadas - Las Molinetas - Labradorcico,Aguilas,2,/es/comprar/vivienda/aguilas/parking-ascensor/176099512/d?from=list,4,2,124,No,0,No,No,No,No,No,No,41,6585.84,7285.5855,260.0,411.615,34.42765,182.323,74.0304708333,0.0,2/3,28.125
76,119900,Piso,"Piso en Alta, 115, Cuatro Caminos",942 912 027,Cuatro Caminos,Santander,8,/es/comprar/vivienda/santander/calefaccion/177398339/d?from=list,4,2,102,No,4,No,No,Yes,No,No,No,1,11990.0,13009.15,205.0,599.5,55.095,219.9,89.9579166667,938.0,1/3,15.1898734177
