,_id,price,type,title,mobile,address,city,age,url,rooms,bathrooms,m2,elevator,floor,balcony,terrace,heating,air_conditioning,parking,pool,id,transfer_taxes,insurance,ibi,community,maintenance,costs,amount_to_pay,total_mortgage,monthly_mortgage,incomes,rentability,group,percentile
13104,6407c4bd4d7c3f56aba539e9,153000,Casa adosada,"Casa adosada con terraza en Calle Calle Alonso Zamora Vicente, Ciudad Monumental",927 137 029,Ciudad Monumental,Cáceres Capital,263,/es/comprar/vivienda/caceres-capital/calefaccion-parking-jardin-terraza-trastero-no-amueblado/163907252/d?from=list,4,2,120,No,0,No,Yes,Yes,No,No,No,13245,15300.0,250.0,180.0,73.30000000000001,253.0,63.025,53000,81120.62231920156,225.3350619977821,707.6666666666666,5.031679256026614,2/3,100.0
13136,6407c4bd4d7c3f56aba53a09,136000,Casa adosada,"Casa adosada en Del Alba, 27, Mejostilla",924 926 902,Mejostilla,Cáceres Capital,1,/es/comprar/vivienda/caceres-capital/calefaccion-parking-terraza-patio/176543184/d?from=list,4,2,122,No,0,Yes,Yes,No,No,No,No,13277,13600.0,255.0,183.0,63.95000000000001,236.0,61.49583333333334,36000,55100.80006587275,153.05777796075765,713.6666666666666,5.989356664470908,3/3,29.80769230769231
14448,6407c4bd4d7c3f56aba53f29,140000,Casa adosada,"Casa adosada con calefacción en Peñalara, Mejostilla",927 920 179,Mejostilla,Cáceres Capital,5,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-parking-no-amueblado/165765931/d?from=list,4,2,108,No,0,No,No,Yes,No,Yes,No,14589,14000.0,220.0,162.0,66.15,240.0,57.34583333333333,40000,61223.11118430306,170.06419773417517,671.3333333333334,5.327079627189898,3/3,50.0
22742,6407c4bd4d7c3f56aba55f8f,142000,Casa adosada,Casa adosada con balcón en La Cañada,927 135 106,La Cañada,Cáceres Capital,111,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-patio/164274708/d?from=list,3,2,150,No,0,Yes,No,Yes,No,No,No,22902,14200.0,325.0,225.0,67.25000000000001,242.0,71.60416666666667,42000,64284.26674351821,178.56740762088393,805.3333333333334,6.661941108549393,2/3,97.36842105263159
24488,6407c4bd4d7c3f56aba56661,148000,Casa adosada,Casa adosada con terraza en La Cañada,927 920 847,La Cañada,Cáceres Capital,47,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio/176100721/d?from=list,3,2,152,No,0,No,Yes,Yes,No,No,No,24648,14800.0,330.0,228.0,70.55000000000001,248.0,73.04583333333333,48000,73467.73342116368,204.0770372810102,796.6666666666666,6.234525552627878,2/3,100.0
26179,6407c4bd4d7c3f56aba56cfc,115000,Casa adosada,Casa adosada con terraza en La Cañada,927 920 171,La Cañada,Cáceres Capital,181,/es/comprar/vivienda/caceres-capital/aire-acondicionado-parking-terraza-trastero/161467114/d?from=list,4,2,150,No,0,No,Yes,No,Yes,No,No,26339,11500.0,325.0,225.0,52.400000000000006,215.0,68.11666666666666,15000,22958.666694113646,63.77407415031569,797.6666666666666,7.989311110196211,2/3,76.31578947368422
26717,6407c4bd4d7c3f56aba56f16,148000,Casa adosada,Casa adosada con calefacción en Mejostilla,927 920 478,Mejostilla,Cáceres Capital,49,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-trastero-no-amueblado/164783937/d?from=list,4,2,125,No,0,No,No,Yes,Yes,No,No,26877,14800.0,262.5,187.5,70.55000000000001,248.0,64.04583333333333,48000,73467.73342116368,204.0770372810102,719.3333333333334,5.414525552627878,3/3,83.65384615384616
28945,6407c4bd4d7c3f56aba577ca,100000,Casa adosada,Casa adosada con terraza en La Cañada,927 920 478,La Cañada,Cáceres Capital,58,/es/comprar/vivienda/caceres-capital/parking-terraza-trastero-patio-no-amueblado/165728029/d?from=list,4,2,110,No,0,No,Yes,No,No,No,No,29113,10000.0,225.0,165.0,44.15,200.0,52.84583333333333,0,0.0,0.0,686.6666666666666,7.60585,2/3,40.78947368421053
30427,6407c4bd4d7c3f56aba57d94,140000,Casa adosada,Casa adosada con terraza en Mejostilla,927 131 359,Mejostilla,Cáceres Capital,74,/es/comprar/vivienda/caceres-capital/calefaccion-parking-jardin-terraza-patio/176236827/d?from=list,4,2,122,No,0,Yes,Yes,No,No,No,No,30595,14000.0,255.0,183.0,66.15,240.0,62.012499999999996,40000,61223.11118430306,170.06419773417517,713.6666666666666,5.779079627189898,3/3,50.0
31123,6407c4bd4d7c3f56aba5804c,136000,Casa adosada,Casa adosada en Mejostilla,924 155 013,Mejostilla,Cáceres Capital,49,/es/comprar/vivienda/caceres-capital/mejostilla/176438881/d?from=list,4,0,96,No,0,No,No,No,No,No,No,31291,13600.0,190.0,144.0,63.95000000000001,236.0,52.82916666666667,36000,55100.80006587275,153.05777796075765,630.6666666666666,5.097356664470908,3/3,29.80769230769231
31644,6407c4bd4d7c3f56aba58255,106000,Casa adosada,"Casa adosada en Calle Perú, 10, Nuevo Cáceres",Unknown,Nuevo Cáceres,Cáceres Capital,374,/es/comprar/vivienda/caceres-capital/aire-acondicionado-terraza-trastero/162770265/d?from=list,3,2,165,No,0,Yes,Yes,No,No,No,No,31812,10600.0,362.5,247.5,47.45,206.0,71.95416666666667,6000,9183.46667764546,25.509629660126276,835.6666666666666,8.858434444078485,3/3,100.0
32527,6407c4bd4d7c3f56aba585c8,135000,Casa adosada,Casa adosada con terraza en Nuevo Cáceres,Unknown,Nuevo Cáceres,Cáceres Capital,29,/es/comprar/vivienda/caceres-capital/calefaccion-parking-terraza-trastero/176778841/d?from=list,3,2,90,No,0,No,Yes,Yes,No,No,No,32695,13500.0,175.0,135.0,63.4,235.0,50.699999999999996,35000,53570.22228626518,148.8061730174033,652.3333333333334,5.433925923791161,2/3,69.6969696969697
33465,6407c4bd4d7c3f56aba58972,90000,Casa adosada,"Casa adosada en Calle Moreras, 12, Ciudad Monumental",Unknown,Ciudad Monumental,Cáceres Capital,37,/es/comprar/vivienda/caceres-capital/aire-acondicionado/176580178/d?from=list,2,1,80,No,0,Yes,No,No,Yes,No,No,33633,9000.0,150.0,120.0,38.65,190.0,41.55416666666667,0,0.0,0.0,548.6666666666666,6.1468181818181815,3/3,42.561983471074385
39415,6407c4bd4d7c3f56aba5a0b0,124500,Casa adosada,Casa adosada con terraza en Nuevo Cáceres,927 920 764,Nuevo Cáceres,Cáceres Capital,88,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-trastero/162322564/d?from=list,3,1,63,No,0,No,Yes,Yes,No,No,No,39666,12450.0,107.5,94.5,57.62500000000001,224.5,40.34375,24500,37499.155600385624,104.1643211121823,625.3333333333334,5.769903146653813,2/3,31.818181818181817
39600,6407c4bd4d7c3f56aba5a169,107000,Casa adosada,"Casa adosada con 2 baños en Calle Malpartida de Cáceres, La Cañada",910 925 039,La Cañada,Cáceres Capital,182,/es/comprar/vivienda/caceres-capital/parking/164721204/d?from=list,4,2,140,No,0,No,No,No,No,No,No,39851,10700.0,300.0,210.0,48.0,207.0,63.75,7000,10714.044457253036,29.761234603480656,779.3333333333334,8.229865184758234,2/3,55.26315789473685
40444,6407c4bd4d7c3f56aba5a4b5,145000,Casa adosada,Casa adosada con terraza en Mejostilla,927 920 764,Mejostilla,Cáceres Capital,90,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-terraza-patio/165358022/d?from=list,4,2,90,No,0,No,Yes,Yes,No,No,No,40695,14500.0,175.0,135.0,68.9,245.0,51.99166666666667,45000,68876.00008234095,191.32222245094707,666.3333333333334,5.076233330588636,3/3,70.1923076923077
