,price,type,title,mobile,address,city,age,url,rooms,bathrooms,m2,elevator,floor,balcony,terrace,heating,air_conditioning,parking,pool,id
10,135000,Piso,Piso con ascensor en Ruta de la Plata,927 135 106,Ruta de la Plata,Cáceres Capital,26,/es/comprar/vivienda/caceres-capital/ascensor/176716201/d?from=list,3,2,91,Yes,4,No,No,No,No,No,No,10
11,447000,Casa o chalet,"Casa o chalet con terraza en Isla de la Toja, Ruta de la Plata",927 920 486,"Isla de la Toja, Ruta de la Plata",Cáceres Capital,10,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-terraza/176461592/d?from=list,6,3,350,No,0,No,Yes,Yes,Yes,No,No,11
12,97000,Piso,Piso con balcón en Ciudad Monumental,927 135 081,Ciudad Monumental,Cáceres Capital,202,/es/comprar/vivienda/caceres-capital/trastero/152414087/d?from=list,4,2,147,No,0,Yes,No,No,No,No,No,12
13,124500,Casa o chalet,Casa o chalet con 2 baños en Nuevo Cáceres,910 306 185,Nuevo Cáceres,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/parking/176643210/d?from=list,2,2,141,No,0,No,No,No,No,No,No,13
14,159000,Piso,Piso con 2 baños en Ciudad Monumental,927 135 106,Ciudad Monumental,Cáceres Capital,26,/es/comprar/vivienda/caceres-capital/patio/176711280/d?from=list,2,2,140,No,0,No,No,No,No,No,No,14
15,179000,Casa adosada,Casa adosada con terraza en Mejostilla,927 135 106,Mejostilla,Cáceres Capital,5,/es/comprar/vivienda/caceres-capital/parking-jardin-terraza-trastero-parking/176960003/d?from=list,4,2,150,No,0,No,Yes,No,No,Yes,No,15
16,89200,Piso,Piso con 1 baño en Mejostilla,924 150 618,Mejostilla,Cáceres Capital,32,/es/comprar/vivienda/caceres-capital/parking-amueblado/176652677/d?from=list,3,1,90,No,0,No,No,No,No,No,No,16
17,59260,Piso,Piso con 1 baño en Nuevo Cáceres,924 150 618,Nuevo Cáceres,Cáceres Capital,9,/es/comprar/vivienda/caceres-capital/nuevo-caceres/176925780/d?from=list,3,1,66,No,0,No,No,No,No,No,No,17
18,125000,Piso,Piso con terraza en Centro,924 150 618,Centro,Cáceres Capital,2,/es/comprar/vivienda/caceres-capital/terraza-ascensor/176999666/d?from=list,3,1,89,Yes,3,No,Yes,No,No,No,No,18
19,212000,Piso,"Piso en Calle Padre Leocadio, 1, Centro",927 135 098,"Calle Padre Leocadio, 1, Centro",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor-no-amueblado/165748333/d?from=list,3,2,95,No,0,No,No,No,No,No,No,19
20,120000,Piso,"Piso con terraza en Calle Évora, Nuevo Cáceres",927 926 041,"Calle Évora, Nuevo Cáceres",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-amueblado-internet/176954800/d?from=list,3,2,93,No,0,No,No,No,No,No,No,20
21,149900,Casa adosada,"Casa adosada en Calle las Margaritas, 18, Mejostilla",927 926 041,"Calle las Margaritas, 18, Mejostilla",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio-amueblado-no-amueblado/176911973/d?from=list,4,2,171,No,0,No,No,No,No,No,No,21
23,235000,Dúplex,Dúplex con ascensor en Centro,927 132 761,Centro,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/parking-ascensor/165104396/d?from=list,5,3,130,No,0,No,No,No,No,No,No,23
24,109000,Piso,Piso con balcón en Ciudad Monumental,927 132 761,Ciudad Monumental,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion/161777601/d?from=list,3,2,81,No,0,No,No,No,No,No,No,24
25,260000,Piso,Piso con ascensor en Centro,927 132 761,Centro,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/parking-ascensor/146108467/d?from=list,5,3,160,No,0,No,No,No,No,No,No,25
26,100000,Piso,Piso con terraza en Centro,927 920 171,Centro,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/calefaccion-terraza/176622567/d?from=list,5,2,130,No,0,No,No,No,No,No,No,26
28,112000,Piso,"Piso con terraza en Gil Cordero, Centro",927 920 179,"Gil Cordero, Centro",Cáceres Capital,139,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor-amueblado/163874434/d?from=list,2,1,75,No,0,No,No,No,No,No,No,28
29,190000,Piso,"Piso con terraza en Calle Antonio Hurtado, Centro",927 135 098,"Calle Antonio Hurtado, Centro",Cáceres Capital,7,/es/comprar/vivienda/caceres-capital/terraza-ascensor-no-amueblado/164942516/d?from=list,4,2,174,No,0,No,No,No,No,No,No,29
30,135000,Piso,"Piso en Calle Antonio Floriano Cumbreño, 7, Centro",930 441 735,"Calle Antonio Floriano Cumbreño, 7, Centro",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/176887179/d?from=list,4,2,113,Yes,5,No,Yes,No,No,No,No,30
31,169670,Piso,"Piso con terraza en Gil Cordero, Centro",911 227 139,"Gil Cordero, Centro",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/terraza-ascensor-amueblado/162564792/d?from=list,4,2,148,Yes,8,No,Yes,No,No,No,No,31
32,99000,Piso,Piso con terraza en Ciudad Monumental,924 150 618,Ciudad Monumental,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza/176991939/d?from=list,2,1,107,No,1,No,Yes,Yes,No,No,No,32
33,117260,Piso,Piso con calefacción en Mejostilla,924 150 618,Mejostilla,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking/176998458/d?from=list,4,2,110,No,0,No,No,Yes,Yes,No,No,33
34,150000,Ático,"Ático en Calle Fuente Nueva, ., Ciudad Monumental",930 441 735,"Calle Fuente Nueva, ., Ciudad Monumental",Cáceres Capital,12,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-no-amueblado/176887314/d?from=list,5,2,136,No,2,No,Yes,Yes,No,No,No,34
35,179000,Piso,"Piso en Antonio Hurtado, 12, Centro",927 135 106,"Antonio Hurtado, 12, Centro",Cáceres Capital,24,/es/comprar/vivienda/caceres-capital/parking-ascensor-parking/176740248/d?from=list,3,2,89,Yes,7,No,No,No,No,Yes,No,35
36,229000,Piso,"Piso en Av. Clara Campoamor, 1, 1, Centro",927 135 106,"Av. Clara Campoamor, 1, 1, Centro",Cáceres Capital,21,/es/comprar/vivienda/caceres-capital/parking-trastero-ascensor-parking/165295673/d?from=list,3,2,112,Yes,6,No,No,No,No,Yes,No,36
37,129000,Piso,"Piso en C. Tenerías, 35, 35, Ciudad Monumental",927 135 106,"C. Tenerías, 35, 35, Ciudad Monumental",Cáceres Capital,18,/es/comprar/vivienda/caceres-capital/ciudad-monumental/176811627/d?from=list,4,2,83,No,0,Yes,No,No,No,No,No,37
38,210000,Casa o chalet,"Casa o chalet con aire acondicionado en Antonio Hernández  Gil , Ciudad Monumental",927 920 486,"Antonio Hernández  Gil , Ciudad Monumental",Cáceres Capital,42,/es/comprar/vivienda/caceres-capital/aire-acondicionado/159745446/d?from=list,4,4,181,No,0,No,No,No,Yes,No,No,38
39,185000,Piso,"Piso con terraza en Avenida Antonio Hurtado , Centro",927 920 486,"Avenida Antonio Hurtado , Centro",Cáceres Capital,5,/es/comprar/vivienda/caceres-capital/calefaccion-parking-terraza-ascensor/176959210/d?from=list,4,2,118,Yes,0,No,Yes,Yes,No,No,No,39
40,135000,Piso,Piso con ascensor en Ruta de la Plata,927 135 106,Ruta de la Plata,Cáceres Capital,26,/es/comprar/vivienda/caceres-capital/ascensor/176716201/d?from=list,3,2,91,Yes,4,No,No,No,No,No,No,40
41,447000,Casa o chalet,"Casa o chalet con terraza en Isla de la Toja, Ruta de la Plata",927 920 486,"Isla de la Toja, Ruta de la Plata",Cáceres Capital,10,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-terraza/176461592/d?from=list,6,3,350,No,0,No,Yes,Yes,Yes,No,No,41
42,97000,Piso,Piso con balcón en Ciudad Monumental,927 135 081,Ciudad Monumental,Cáceres Capital,202,/es/comprar/vivienda/caceres-capital/trastero/152414087/d?from=list,4,2,147,No,0,Yes,No,No,No,No,No,42
43,124500,Casa o chalet,Casa o chalet con 2 baños en Nuevo Cáceres,910 306 185,Nuevo Cáceres,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/parking/176643210/d?from=list,2,2,141,No,0,No,No,No,No,No,No,43
44,159000,Piso,Piso con 2 baños en Ciudad Monumental,927 135 106,Ciudad Monumental,Cáceres Capital,26,/es/comprar/vivienda/caceres-capital/patio/176711280/d?from=list,2,2,140,No,0,No,No,No,No,No,No,44
45,179000,Casa adosada,Casa adosada con terraza en Mejostilla,927 135 106,Mejostilla,Cáceres Capital,5,/es/comprar/vivienda/caceres-capital/parking-jardin-terraza-trastero-parking/176960003/d?from=list,4,2,150,No,0,No,Yes,No,No,Yes,No,45
46,89200,Piso,Piso con 1 baño en Mejostilla,924 150 618,Mejostilla,Cáceres Capital,32,/es/comprar/vivienda/caceres-capital/parking-amueblado/176652677/d?from=list,3,1,90,No,0,No,No,No,No,No,No,46
47,59260,Piso,Piso con 1 baño en Nuevo Cáceres,924 150 618,Nuevo Cáceres,Cáceres Capital,9,/es/comprar/vivienda/caceres-capital/nuevo-caceres/176925780/d?from=list,3,1,66,No,0,No,No,No,No,No,No,47
48,125000,Piso,Piso con terraza en Centro,924 150 618,Centro,Cáceres Capital,2,/es/comprar/vivienda/caceres-capital/terraza-ascensor/176999666/d?from=list,3,1,89,Yes,3,No,Yes,No,No,No,No,48
49,212000,Piso,"Piso en Calle Padre Leocadio, 1, Centro",927 135 098,"Calle Padre Leocadio, 1, Centro",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor-no-amueblado/165748333/d?from=list,3,2,95,No,0,No,No,No,No,No,No,49
50,120000,Piso,"Piso con terraza en Calle Évora, Nuevo Cáceres",927 926 041,"Calle Évora, Nuevo Cáceres",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-amueblado-internet/176954800/d?from=list,3,2,93,No,0,No,No,No,No,No,No,50
51,149900,Casa adosada,"Casa adosada en Calle las Margaritas, 18, Mejostilla",927 926 041,"Calle las Margaritas, 18, Mejostilla",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio-amueblado-no-amueblado/176911973/d?from=list,4,2,171,No,0,No,No,No,No,No,No,51
53,235000,Dúplex,Dúplex con ascensor en Centro,927 132 761,Centro,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/parking-ascensor/165104396/d?from=list,5,3,130,No,0,No,No,No,No,No,No,53
54,109000,Piso,Piso con balcón en Ciudad Monumental,927 132 761,Ciudad Monumental,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion/161777601/d?from=list,3,2,81,No,0,No,No,No,No,No,No,54
55,260000,Piso,Piso con ascensor en Centro,927 132 761,Centro,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/parking-ascensor/146108467/d?from=list,5,3,160,No,0,No,No,No,No,No,No,55
56,100000,Piso,Piso con terraza en Centro,927 920 171,Centro,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/calefaccion-terraza/176622567/d?from=list,5,2,130,No,0,No,No,No,No,No,No,56
58,112000,Piso,"Piso con terraza en Gil Cordero, Centro",927 920 179,"Gil Cordero, Centro",Cáceres Capital,139,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor-amueblado/163874434/d?from=list,2,1,75,No,0,No,No,No,No,No,No,58
59,190000,Piso,"Piso con terraza en Calle Antonio Hurtado, Centro",927 135 098,"Calle Antonio Hurtado, Centro",Cáceres Capital,7,/es/comprar/vivienda/caceres-capital/terraza-ascensor-no-amueblado/164942516/d?from=list,4,2,174,No,0,No,No,No,No,No,No,59
60,135000,Piso,"Piso en Calle Antonio Floriano Cumbreño, 7, Centro",930 441 735,"Calle Antonio Floriano Cumbreño, 7, Centro",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/176887179/d?from=list,4,2,113,Yes,5,No,Yes,No,No,No,No,60
61,169670,Piso,"Piso con terraza en Gil Cordero, Centro",911 227 139,"Gil Cordero, Centro",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/terraza-ascensor-amueblado/162564792/d?from=list,4,2,148,Yes,8,No,Yes,No,No,No,No,61
62,99000,Piso,Piso con terraza en Ciudad Monumental,924 150 618,Ciudad Monumental,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza/176991939/d?from=list,2,1,107,No,1,No,Yes,Yes,No,No,No,62
63,117260,Piso,Piso con calefacción en Mejostilla,924 150 618,Mejostilla,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking/176998458/d?from=list,4,2,110,No,0,No,No,Yes,Yes,No,No,63
64,150000,Ático,"Ático en Calle Fuente Nueva, ., Ciudad Monumental",930 441 735,"Calle Fuente Nueva, ., Ciudad Monumental",Cáceres Capital,12,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-no-amueblado/176887314/d?from=list,5,2,136,No,2,No,Yes,Yes,No,No,No,64
65,179000,Piso,"Piso en Antonio Hurtado, 12, Centro",927 135 106,"Antonio Hurtado, 12, Centro",Cáceres Capital,24,/es/comprar/vivienda/caceres-capital/parking-ascensor-parking/176740248/d?from=list,3,2,89,Yes,7,No,No,No,No,Yes,No,65
66,229000,Piso,"Piso en Av. Clara Campoamor, 1, 1, Centro",927 135 106,"Av. Clara Campoamor, 1, 1, Centro",Cáceres Capital,21,/es/comprar/vivienda/caceres-capital/parking-trastero-ascensor-parking/165295673/d?from=list,3,2,112,Yes,6,No,No,No,No,Yes,No,66
67,129000,Piso,"Piso en C. Tenerías, 35, 35, Ciudad Monumental",927 135 106,"C. Tenerías, 35, 35, Ciudad Monumental",Cáceres Capital,18,/es/comprar/vivienda/caceres-capital/ciudad-monumental/176811627/d?from=list,4,2,83,No,0,Yes,No,No,No,No,No,67
68,210000,Casa o chalet,"Casa o chalet con aire acondicionado en Antonio Hernández  Gil , Ciudad Monumental",927 920 486,"Antonio Hernández  Gil , Ciudad Monumental",Cáceres Capital,42,/es/comprar/vivienda/caceres-capital/aire-acondicionado/159745446/d?from=list,4,4,181,No,0,No,No,No,Yes,No,No,68
69,185000,Piso,"Piso con terraza en Avenida Antonio Hurtado , Centro",927 920 486,"Avenida Antonio Hurtado , Centro",Cáceres Capital,5,/es/comprar/vivienda/caceres-capital/calefaccion-parking-terraza-ascensor/176959210/d?from=list,4,2,118,Yes,0,No,Yes,Yes,No,No,No,69
70,135000,Piso,Piso con ascensor en Ruta de la Plata,927 135 106,Ruta de la Plata,Cáceres Capital,26,/es/comprar/vivienda/caceres-capital/ascensor/176716201/d?from=list,3,2,91,Yes,4,No,No,No,No,No,No,70
71,447000,Casa o chalet,"Casa o chalet con terraza en Isla de la Toja, Ruta de la Plata",927 920 486,"Isla de la Toja, Ruta de la Plata",Cáceres Capital,10,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-terraza/176461592/d?from=list,6,3,350,No,0,No,Yes,Yes,Yes,No,No,71
72,97000,Piso,Piso con balcón en Ciudad Monumental,927 135 081,Ciudad Monumental,Cáceres Capital,202,/es/comprar/vivienda/caceres-capital/trastero/152414087/d?from=list,4,2,147,No,0,Yes,No,No,No,No,No,72
73,124500,Casa o chalet,Casa o chalet con 2 baños en Nuevo Cáceres,910 306 185,Nuevo Cáceres,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/parking/176643210/d?from=list,2,2,141,No,0,No,No,No,No,No,No,73
74,159000,Piso,Piso con 2 baños en Ciudad Monumental,927 135 106,Ciudad Monumental,Cáceres Capital,26,/es/comprar/vivienda/caceres-capital/patio/176711280/d?from=list,2,2,140,No,0,No,No,No,No,No,No,74
75,179000,Casa adosada,Casa adosada con terraza en Mejostilla,927 135 106,Mejostilla,Cáceres Capital,5,/es/comprar/vivienda/caceres-capital/parking-jardin-terraza-trastero-parking/176960003/d?from=list,4,2,150,No,0,No,Yes,No,No,Yes,No,75
76,89200,Piso,Piso con 1 baño en Mejostilla,924 150 618,Mejostilla,Cáceres Capital,32,/es/comprar/vivienda/caceres-capital/parking-amueblado/176652677/d?from=list,3,1,90,No,0,No,No,No,No,No,No,76
77,59260,Piso,Piso con 1 baño en Nuevo Cáceres,924 150 618,Nuevo Cáceres,Cáceres Capital,9,/es/comprar/vivienda/caceres-capital/nuevo-caceres/176925780/d?from=list,3,1,66,No,0,No,No,No,No,No,No,77
78,125000,Piso,Piso con terraza en Centro,924 150 618,Centro,Cáceres Capital,2,/es/comprar/vivienda/caceres-capital/terraza-ascensor/176999666/d?from=list,3,1,89,Yes,3,No,Yes,No,No,No,No,78
79,212000,Piso,"Piso en Calle Padre Leocadio, 1, Centro",927 135 098,"Calle Padre Leocadio, 1, Centro",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor-no-amueblado/165748333/d?from=list,3,2,95,No,0,No,No,No,No,No,No,79
80,120000,Piso,"Piso con terraza en Calle Évora, Nuevo Cáceres",927 926 041,"Calle Évora, Nuevo Cáceres",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-amueblado-internet/176954800/d?from=list,3,2,93,No,0,No,No,No,No,No,No,80
81,149900,Casa adosada,"Casa adosada en Calle las Margaritas, 18, Mejostilla",927 926 041,"Calle las Margaritas, 18, Mejostilla",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio-amueblado-no-amueblado/176911973/d?from=list,4,2,171,No,0,No,No,No,No,No,No,81
83,235000,Dúplex,Dúplex con ascensor en Centro,927 132 761,Centro,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/parking-ascensor/165104396/d?from=list,5,3,130,No,0,No,No,No,No,No,No,83
84,109000,Piso,Piso con balcón en Ciudad Monumental,927 132 761,Ciudad Monumental,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion/161777601/d?from=list,3,2,81,No,0,No,No,No,No,No,No,84
85,260000,Piso,Piso con ascensor en Centro,927 132 761,Centro,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/parking-ascensor/146108467/d?from=list,5,3,160,No,0,No,No,No,No,No,No,85
86,100000,Piso,Piso con terraza en Centro,927 920 171,Centro,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/calefaccion-terraza/176622567/d?from=list,5,2,130,No,0,No,No,No,No,No,No,86
88,112000,Piso,"Piso con terraza en Gil Cordero, Centro",927 920 179,"Gil Cordero, Centro",Cáceres Capital,139,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor-amueblado/163874434/d?from=list,2,1,75,No,0,No,No,No,No,No,No,88
89,190000,Piso,"Piso con terraza en Calle Antonio Hurtado, Centro",927 135 098,"Calle Antonio Hurtado, Centro",Cáceres Capital,7,/es/comprar/vivienda/caceres-capital/terraza-ascensor-no-amueblado/164942516/d?from=list,4,2,174,No,0,No,No,No,No,No,No,89
90,135000,Piso,"Piso en Calle Antonio Floriano Cumbreño, 7, Centro",930 441 735,"Calle Antonio Floriano Cumbreño, 7, Centro",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/176887179/d?from=list,4,2,113,Yes,5,No,Yes,No,No,No,No,90
91,169670,Piso,"Piso con terraza en Gil Cordero, Centro",911 227 139,"Gil Cordero, Centro",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/terraza-ascensor-amueblado/162564792/d?from=list,4,2,148,Yes,8,No,Yes,No,No,No,No,91
92,99000,Piso,Piso con terraza en Ciudad Monumental,924 150 618,Ciudad Monumental,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza/176991939/d?from=list,2,1,107,No,1,No,Yes,Yes,No,No,No,92
93,117260,Piso,Piso con calefacción en Mejostilla,924 150 618,Mejostilla,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking/176998458/d?from=list,4,2,110,No,0,No,No,Yes,Yes,No,No,93
94,150000,Ático,"Ático en Calle Fuente Nueva, ., Ciudad Monumental",930 441 735,"Calle Fuente Nueva, ., Ciudad Monumental",Cáceres Capital,12,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-no-amueblado/176887314/d?from=list,5,2,136,No,2,No,Yes,Yes,No,No,No,94
95,179000,Piso,"Piso en Antonio Hurtado, 12, Centro",927 135 106,"Antonio Hurtado, 12, Centro",Cáceres Capital,24,/es/comprar/vivienda/caceres-capital/parking-ascensor-parking/176740248/d?from=list,3,2,89,Yes,7,No,No,No,No,Yes,No,95
96,229000,Piso,"Piso en Av. Clara Campoamor, 1, 1, Centro",927 135 106,"Av. Clara Campoamor, 1, 1, Centro",Cáceres Capital,21,/es/comprar/vivienda/caceres-capital/parking-trastero-ascensor-parking/165295673/d?from=list,3,2,112,Yes,6,No,No,No,No,Yes,No,96
97,129000,Piso,"Piso en C. Tenerías, 35, 35, Ciudad Monumental",927 135 106,"C. Tenerías, 35, 35, Ciudad Monumental",Cáceres Capital,18,/es/comprar/vivienda/caceres-capital/ciudad-monumental/176811627/d?from=list,4,2,83,No,0,Yes,No,No,No,No,No,97
98,210000,Casa o chalet,"Casa o chalet con aire acondicionado en Antonio Hernández  Gil , Ciudad Monumental",927 920 486,"Antonio Hernández  Gil , Ciudad Monumental",Cáceres Capital,42,/es/comprar/vivienda/caceres-capital/aire-acondicionado/159745446/d?from=list,4,4,181,No,0,No,No,No,Yes,No,No,98
99,185000,Piso,"Piso con terraza en Avenida Antonio Hurtado , Centro",927 920 486,"Avenida Antonio Hurtado , Centro",Cáceres Capital,5,/es/comprar/vivienda/caceres-capital/calefaccion-parking-terraza-ascensor/176959210/d?from=list,4,2,118,Yes,0,No,Yes,Yes,No,No,No,99
100,135000,Piso,Piso con ascensor en Ruta de la Plata,927 135 106,Ruta de la Plata,Cáceres Capital,26,/es/comprar/vivienda/caceres-capital/ascensor/176716201/d?from=list,3,2,91,Yes,4,No,No,No,No,No,No,100
101,447000,Casa o chalet,"Casa o chalet con terraza en Isla de la Toja, Ruta de la Plata",927 920 486,"Isla de la Toja, Ruta de la Plata",Cáceres Capital,10,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-terraza/176461592/d?from=list,6,3,350,No,0,No,Yes,Yes,Yes,No,No,101
102,97000,Piso,Piso con balcón en Ciudad Monumental,927 135 081,Ciudad Monumental,Cáceres Capital,202,/es/comprar/vivienda/caceres-capital/trastero/152414087/d?from=list,4,2,147,No,0,Yes,No,No,No,No,No,102
103,124500,Casa o chalet,Casa o chalet con 2 baños en Nuevo Cáceres,910 306 185,Nuevo Cáceres,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/parking/176643210/d?from=list,2,2,141,No,0,No,No,No,No,No,No,103
104,159000,Piso,Piso con 2 baños en Ciudad Monumental,927 135 106,Ciudad Monumental,Cáceres Capital,26,/es/comprar/vivienda/caceres-capital/patio/176711280/d?from=list,2,2,140,No,0,No,No,No,No,No,No,104
105,179000,Casa adosada,Casa adosada con terraza en Mejostilla,927 135 106,Mejostilla,Cáceres Capital,5,/es/comprar/vivienda/caceres-capital/parking-jardin-terraza-trastero-parking/176960003/d?from=list,4,2,150,No,0,No,Yes,No,No,Yes,No,105
106,89200,Piso,Piso con 1 baño en Mejostilla,924 150 618,Mejostilla,Cáceres Capital,32,/es/comprar/vivienda/caceres-capital/parking-amueblado/176652677/d?from=list,3,1,90,No,0,No,No,No,No,No,No,106
107,59260,Piso,Piso con 1 baño en Nuevo Cáceres,924 150 618,Nuevo Cáceres,Cáceres Capital,9,/es/comprar/vivienda/caceres-capital/nuevo-caceres/176925780/d?from=list,3,1,66,No,0,No,No,No,No,No,No,107
